model,w_doc,w_query,w_topic,AUC
BIM,0.0,0.0,0.0,0.5
BIM,0.0,0.0,0.5,0.5004608684591424
BIM,0.0,0.0,1.0,0.5004608684591424
BIM,0.0,0.0,1.5,0.5004608684591424
BIM,0.0,0.0,2.0,0.5004608684591424
BIM,0.0,0.5,0.0,0.5595786958159743
BIM,0.0,0.5,0.5,0.5340722154828887
BIM,0.0,0.5,1.0,0.5195411964956617
BIM,0.0,0.5,1.5,0.5136028331309375
BIM,0.0,0.5,2.0,0.5105403077235783
BIM,0.0,1.0,0.0,0.5595786958159743
BIM,0.0,1.0,0.5,0.5489706378315256
BIM,0.0,1.0,1.0,0.5340722154828887
BIM,0.0,1.0,1.5,0.5250202854298343
BIM,0.0,1.0,2.0,0.5195411964956617
BIM,0.0,1.5,0.0,0.5595786958159743
BIM,0.0,1.5,0.5,0.5544187524436377
BIM,0.0,1.5,1.0,0.5433665835290401
BIM,0.0,1.5,1.5,0.5340722154828887
BIM,0.0,1.5,2.0,0.5275450325214198
BIM,0.0,2.0,0.0,0.5595786958159743
BIM,0.0,2.0,0.5,0.5567179728099181
BIM,0.0,2.0,1.0,0.5489706378315256
BIM,0.0,2.0,1.5,0.5407957795301483
BIM,0.0,2.0,2.0,0.5340722154828887
BIM,0.0,3.0,0.0,0.5595786958159743
BIM,0.0,3.0,0.5,0.5581219155142191
BIM,0.0,3.0,1.0,0.5544187524436377
BIM,0.0,3.0,1.5,0.5489706378315256
BIM,0.0,3.0,2.0,0.5433665835290401
BIM,0.5,0.0,0.0,0.09885739706944721
BIM,0.5,0.0,0.5,0.29712403257838416
BIM,0.5,0.0,1.0,0.3745497557009583
BIM,0.5,0.0,1.5,0.41183010341604376
BIM,0.5,0.0,2.0,0.43114752904530473
BIM,0.5,0.5,0.0,0.3003763768523098
BIM,0.5,0.5,0.5,0.3567860548229318
BIM,0.5,0.5,1.0,0.4024335152521834
BIM,0.5,0.5,1.5,0.42884634244071185
BIM,0.5,0.5,2.0,0.44406523735975784
BIM,0.5,1.0,0.0,0.3951448073830874
BIM,0.5,1.0,0.5,0.41163806747417836
BIM,0.5,1.0,1.0,0.4315040007690177
BIM,0.5,1.0,1.5,0.4464710391707038
BIM,0.5,1.0,2.0,0.456789048683737
BIM,0.5,1.5,0.0,0.44150906282123314
BIM,0.5,1.5,0.5,0.4479210873314051
BIM,0.5,1.5,1.0,0.45563824095627475
BIM,0.5,1.5,1.5,0.46295397448777464
BIM,0.5,1.5,2.0,0.4688595672139552
BIM,0.5,2.0,0.0,0.46796962995233127
BIM,0.5,2.0,0.5,0.4712643656769556
BIM,0.5,2.0,1.0,0.4741353810909693
BIM,0.5,2.0,1.5,0.4770517089928458
BIM,0.5,2.0,2.0,0.47984949618986705
BIM,0.5,3.0,0.0,0.4966659314176076
BIM,0.5,3.0,0.5,0.49791671791293274
BIM,0.5,3.0,1.0,0.49829638801212817
BIM,0.5,3.0,1.5,0.49800017380575706
BIM,0.5,3.0,2.0,0.4976628061505876
BIM,1.0,0.0,0.0,0.09885739706944721
BIM,1.0,0.0,0.5,0.21020281869567356
BIM,1.0,0.0,1.0,0.29712403257838416
BIM,1.0,0.0,1.5,0.34378817577102433
BIM,1.0,0.0,2.0,0.3745497557009583
BIM,1.0,0.5,0.0,0.21189084642432687
BIM,1.0,0.5,0.5,0.26610223759538276
BIM,1.0,0.5,1.0,0.32516546340434016
BIM,1.0,0.5,1.5,0.3617306020476066
BIM,1.0,0.5,2.0,0.3876205393092305
BIM,1.0,1.0,0.0,0.3003763768523098
BIM,1.0,1.0,0.5,0.32432201999186966
BIM,1.0,1.0,1.0,0.3567860548229318
BIM,1.0,1.0,1.5,0.38277278279523674
BIM,1.0,1.0,2.0,0.4024335152521834
BIM,1.0,1.5,0.0,0.35727136775097296
BIM,1.0,1.5,0.5,0.3691755247186094
BIM,1.0,1.5,1.0,0.38660401837615577
BIM,1.0,1.5,1.5,0.40333825998751965
BIM,1.0,1.5,2.0,0.41740780365192764
BIM,1.0,2.0,0.0,0.3951448073830874
BIM,1.0,2.0,0.5,0.40200108847069055
BIM,1.0,2.0,1.0,0.41163806747417836
BIM,1.0,2.0,1.5,0.4219619837936651
BIM,1.0,2.0,2.0,0.4315040007690177
BIM,1.0,3.0,0.0,0.44150906282123314
BIM,1.0,3.0,0.5,0.44434322947279564
BIM,1.0,3.0,1.0,0.4479210873314051
BIM,1.0,3.0,1.5,0.45166470798043534
BIM,1.0,3.0,2.0,0.45563824095627475
BIM,1.5,0.0,0.0,0.09885739706944721
BIM,1.5,0.0,0.5,0.16688574715113913
BIM,1.5,0.0,1.0,0.2473747886496102
BIM,1.5,0.0,1.5,0.29712403257838416
BIM,1.5,0.0,2.0,0.3307894956590637
