topic,model,MAP,P@10,R@10,query_count,doc_count
0,BIM,0.5364683269142665,0.14821428571428613,0.6571345519559804,280,679
0,BM25_Best,0.7430769706996344,0.1882142857142863,0.8210685742828601,280,679
1,BIM,0.5410912757151105,0.14621848739495844,0.6942905367275114,357,822
1,BM25_Best,0.7111311117362463,0.17170868347338977,0.7896848482982937,357,822
2,BIM,0.33067763677885587,0.15268817204301066,0.48423326971714065,93,295
2,BM25_Best,0.6364764232830932,0.2526881720430108,0.7943463048301758,93,295
3,BIM,0.6002857054581638,0.1690909090909092,0.7038757202393566,165,391
3,BM25_Best,0.801964033064118,0.2096969696969699,0.8489114252750615,165,391
4,BIM,0.5687409405711846,0.17837837837837853,0.7503246753246753,185,445
4,BM25_Best,0.7980806250654874,0.20864864864864902,0.8667848367848369,185,445
5,BIM,0.5330047825665531,0.1463855421686751,0.667845959261622,332,847
5,BM25_Best,0.7283607381920111,0.19337349397590417,0.8114998079230007,332,847
6,BIM,0.617905859148399,0.18383838383838405,0.7428717046141288,198,503
6,BM25_Best,0.8142998824725655,0.21919191919191947,0.8829695697119938,198,503
7,BIM,0.5617935472466292,0.18311688311688298,0.7308679415822273,77,204
7,BM25_Best,0.7999708423355948,0.2311688311688312,0.8941594120165548,77,204
8,BIM,0.5002881551896661,0.15813953488372107,0.6616359609382866,215,538
8,BM25_Best,0.7598625960334383,0.2032558139534887,0.8334069935232727,215,538
9,BIM,0.6166084527351944,0.19722222222222213,0.768708580514136,108,276
9,BM25_Best,0.8065764329657316,0.22407407407407412,0.8804266207043985,108,276
