k1,b,MAP
2.0,0.6,0.6045107916946187
2.0,0.7,0.6116068598525753
2.0,0.8,0.6194485206006246
2.0,0.9,0.6255558880232663
2.0,0.99,0.6277435617306579
2.5,0.6,0.6066475059997634
2.5,0.7,0.6145997460814245
2.5,0.8,0.6203839044819391
2.5,0.9,0.6262703497378749
2.5,0.99,0.6292829569849936
3.0,0.6,0.6066063360137228
3.0,0.7,0.6153801086069711
3.0,0.8,0.6213967300939374
3.0,0.9,0.6286755889809904
3.0,0.99,0.6305344214234635
3.5,0.6,0.6046476333031696
3.5,0.7,0.6152139410831414
3.5,0.8,0.6216693521491569
3.5,0.9,0.6289881517937398
3.5,0.99,0.6304201185405921
4.0,0.6,0.6029875629429554
4.0,0.7,0.6133671928747169
4.0,0.8,0.6225066119067012
4.0,0.9,0.627800426972008
4.0,0.99,0.6294364049861549
4.5,0.6,0.6010726671775272
4.5,0.7,0.6124784462369074
4.5,0.8,0.6224011243083382
4.5,0.9,0.6271506530588409
4.5,0.99,0.6280109287234388
5.0,0.6,0.5989963518981998
5.0,0.7,0.6113414504779665
5.0,0.8,0.6219479428004347
5.0,0.9,0.6264500401373237
5.0,0.99,0.627753316901398
