model,w1_doc,w2_query,w3_topic,AUC
BIM,-2.0,0.0,0.0,0.8136358601633656
BIM,-2.0,0.0,0.5,0.800550867277086
BIM,-2.0,0.0,1.0,0.7667112094947144
BIM,-2.0,0.0,1.5,0.7359353364783177
BIM,-2.0,0.0,2.0,0.7103454353553516
BIM,-2.0,0.5,0.0,0.8286190196947574
BIM,-2.0,0.5,0.5,0.817354741117716
BIM,-2.0,0.5,1.0,0.7833847241442067
BIM,-2.0,0.5,1.5,0.7503441695786063
BIM,-2.0,0.5,2.0,0.7226868101869107
BIM,-2.0,1.0,0.0,0.8067622661570282
BIM,-2.0,1.0,0.5,0.8034892603896654
BIM,-2.0,1.0,1.0,0.780604106218264
BIM,-2.0,1.0,1.5,0.752986315241389
BIM,-2.0,1.0,2.0,0.7275828428878164
BIM,-2.0,1.5,0.0,0.7792391849827862
BIM,-2.0,1.5,0.5,0.7798749610589732
BIM,-2.0,1.5,1.0,0.7668382856418772
BIM,-2.0,1.5,1.5,0.7470210071498854
BIM,-2.0,1.5,2.0,0.7263080936350268
BIM,-2.0,2.0,0.0,0.7540654569526243
BIM,-2.0,2.0,0.5,0.7563721133363159
BIM,-2.0,2.0,1.0,0.7494024344303926
BIM,-2.0,2.0,1.5,0.7364613626289489
BIM,-2.0,2.0,2.0,0.7208717853413152
BIM,-2.0,3.0,0.0,0.7153060116694853
BIM,-2.0,3.0,0.5,0.7184429515933558
BIM,-2.0,3.0,1.0,0.7171828127456912
BIM,-2.0,3.0,1.5,0.7122511306562809
BIM,-2.0,3.0,2.0,0.7046107825889899
BIM,-1.0,0.0,0.0,0.8136358601633656
BIM,-1.0,0.0,0.5,0.7667112094947144
BIM,-1.0,0.0,1.0,0.7103454353553516
BIM,-1.0,0.0,1.5,0.672696037087465
BIM,-1.0,0.0,2.0,0.6482589828724111
BIM,-1.0,0.5,0.0,0.8067622661570282
BIM,-1.0,0.5,0.5,0.780604106218264
BIM,-1.0,0.5,1.0,0.7275828428878164
BIM,-1.0,0.5,1.5,0.6881356772410935
BIM,-1.0,0.5,2.0,0.6614301599602157
BIM,-1.0,1.0,0.0,0.7540654569526243
BIM,-1.0,1.0,0.5,0.7494024344303926
BIM,-1.0,1.0,1.0,0.7208717853413152
BIM,-1.0,1.0,1.5,0.691133354221056
BIM,-1.0,1.0,2.0,0.6674870838862083
BIM,-1.0,1.5,0.0,0.7153060116694853
BIM,-1.0,1.5,0.5,0.7171828127456912
